marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
SEAT León 1.0 TSI S&S Style XS 110,04/2024,Alicante,18.099 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Gris,21.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,60
litros/100 km",Si,2025-02-18 11:46:04.505799,ref15221086
SEAT Arona 1.5 EcoTSI S&S Special Edition DSG7 150,03/2024,Alicante,23.682 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris Plata,22.890 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:10.226817,ref15221085
MERCEDES-BENZ Vito M1 Familiar Manual de 5 Puertas,06/2020,Madrid,49.000 km,Diésel,,No,Manual,Familiar,,100 cv,5 Puertas,-,27.900 €,"IGL MOTOR
Profesional",,No,2025-02-18 11:46:17.016257,ref14144000
VOLKSWAGEN T-Cross 1.0 TSI Life 85kW,02/2024,Alicante,9.835 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro,23.490 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:23.432633,ref15195101
LAMBORGHINI Aventador LP740-4 S Roadster,04/2018,Murcia,30.200 km,Gasolina,C,12 meses,Automático,Descapotable o convertible,,- cv,2 Puertas,Azul,"389.000 €
5%
369.000 €","CLIPPER CARS
Profesional",,No,2025-02-18 11:46:29.513430,ref15377990
VOLKSWAGEN Golf 2.0TDI Life 85kW,02/2024,Alicante,5.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Negro,28.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:36.363160,ref15181773
SKODA Karoq 1.5 TSI Style ACT DSG,09/2023,Alicante,4.769 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,30.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:44.073985,ref15148622
SEAT Ibiza 1.0 MPI Evo S&S Style XM 80,02/2024,Alicante,20.950 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,80 cv,5 Puertas,Gris Plata,16.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:51.075277,ref15146045
VOLKSWAGEN Golf 1.0 eTSI Life DSG 81kW,08/2023,Alicante,14.657 km,Gasolina,ECO,12 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro / Metalizado,29.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:46:57.322459,ref15140068
SKODA Enyaq iV 60 132kW,06/2024,Alicante,2.000 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,180 cv,5 Puertas,Gris / Metalizado,33.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:47:04.071619,ref15132698
VOLKSWAGEN Golf 2.0TDI CR BMT Advance DSG 150,09/2015,Madrid,128.000 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,150 cv,3 Puertas,blanco,14.200 €,"AUTOMASER
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:47:34.131109,ref15280062
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,03/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,25.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:47:40.682517,ref15407107
VOLKSWAGEN Golf 1.5 TSI R-Line 110kW,12/2023,Alicante,5.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Rojo,31.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:47:47.007926,ref15407106
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,04/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,26.100 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:47:53.474204,ref15407105
VOLKSWAGEN Golf 1.5 TSI Más 85kW,07/2024,Alicante,2.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:47:59.633631,ref15407104
VOLKSWAGEN Golf 1.5 TSI Más 85kW,08/2024,Alicante,6.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:48:05.560933,ref15407103
VOLKSWAGEN T-Roc 1.0 TSI Life 85kW,04/2024,Alicante,18.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Plata,26.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:48:11.067996,ref15407102
SKODA Scala 1.0 TSI Selection 85kW,04/2024,Alicante,10.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,19.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:16.940075,ref15403663
SKODA Karoq 2.0TDI Adblue Selection 85kW,09/2024,Alicante,1.200 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,29.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:24.201445,ref15401848
SEAT Arona 1.0 TSI S&S FR XM 115,11/2024,Alicante,2.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,116 cv,5 Puertas,Blanco,21.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:31.587771,ref15399427
SKODA Kamiq 1.0 TSI Monte Carlo 85kW DSG7,04/2024,Alicante,6.452 km,Gasolina,C,24 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco / Metalizado,26.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:38.313730,ref15391246
SKODA Kamiq 1.0 TSI Style 81kW,12/2023,Alicante,8.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris Plata / Metalizado,22.390 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:45.067163,ref15391245
SKODA Karoq 2.0TDI Adblue Selection 85kW,11/2023,Alicante,9.100 km,Diesel,C,24 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:51.706362,ref15391244
SEAT Arona 1.0 TSI S&S Xperience DSG7 XS 110,02/2024,Alicante,18.500 km,Gasolina,C,36 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris / Metalizado,20.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:48:58.726527,ref15390364
SEAT Arona 1.0 TSI S&S FR 110,06/2022,Alicante,13.000 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris,22.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:49:06.277265,ref15390363
SEAT León 1.0 TSI S&S Style XS 110,03/2024,Alicante,26.100 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco,22.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,60
litros/100 km",Si,2025-02-18 11:49:13.355086,ref15390362
MAZDA CX-5 2.2 Skyactiv-D Evolution Design Navi 2WD Aut. 110kW,05/2019,Alicante,137.068 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Rojo,20.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,60
litros/100 km",Si,2025-02-18 11:49:49.000628,ref15408299
VOLKSWAGEN T-Roc 1.0 TSI Life 81kW,02/2024,Alicante,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Blanco,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:49:55.984923,ref15408298
VOLKSWAGEN T-Roc 1.0 TSI Dark 81kW,02/2024,Alicante,9.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Azul,29.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:01.522661,ref15408297
KIA Sportage 1.6 T-GDi Drive 150,12/2022,Alicante,13.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro / Metalizado,23.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:07.571837,ref15408296
VOLKSWAGEN Golf 2.0TDI CR BMT Advance DSG 150,09/2015,Madrid,128.000 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,150 cv,3 Puertas,blanco,14.200 €,"AUTOMASER
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:50:14.492501,ref15280062
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,03/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,25.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:19.728938,ref15407107
VOLKSWAGEN Golf 1.5 TSI R-Line 110kW,12/2023,Alicante,5.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Rojo,31.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:26.198626,ref15407106
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,04/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,26.100 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:32.600199,ref15407105
VOLKSWAGEN Golf 1.5 TSI Más 85kW,07/2024,Alicante,2.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:50:39.058905,ref15407104
VOLKSWAGEN Golf 1.5 TSI Más 85kW,08/2024,Alicante,6.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:50:44.662487,ref15407103
VOLKSWAGEN T-Roc 1.0 TSI Life 85kW,04/2024,Alicante,18.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Plata,26.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:50:51.486168,ref15407102
SKODA Scala 1.0 TSI Selection 85kW,04/2024,Alicante,10.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,19.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:50:57.915395,ref15403663
SKODA Karoq 2.0TDI Adblue Selection 85kW,09/2024,Alicante,1.200 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,29.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:51:05.365978,ref15401848
SEAT Arona 1.0 TSI S&S FR XM 115,11/2024,Alicante,2.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,116 cv,5 Puertas,Blanco,21.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:51:12.699653,ref15399427
SKODA Kamiq 1.0 TSI Monte Carlo 85kW DSG7,04/2024,Alicante,6.452 km,Gasolina,C,24 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco / Metalizado,26.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:51:20.629215,ref15391246
SKODA Kamiq 1.0 TSI Style 81kW,12/2023,Alicante,8.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris Plata / Metalizado,22.390 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:51:29.855303,ref15391245
VOLKSWAGEN T-Roc 1.0 TSI Life 85kW,04/2024,Alicante,18.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Plata,26.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:51:58.509937,ref15407102
SKODA Scala 1.0 TSI Selection 85kW,04/2024,Alicante,10.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,19.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:05.796382,ref15403663
SKODA Karoq 2.0TDI Adblue Selection 85kW,09/2024,Alicante,1.200 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,29.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:13.345737,ref15401848
SEAT Arona 1.0 TSI S&S FR XM 115,11/2024,Alicante,2.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,116 cv,5 Puertas,Blanco,21.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:18.363231,ref15399427
SKODA Kamiq 1.0 TSI Monte Carlo 85kW DSG7,04/2024,Alicante,6.452 km,Gasolina,C,24 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco / Metalizado,26.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:23.592075,ref15391246
SKODA Kamiq 1.0 TSI Style 81kW,12/2023,Alicante,8.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris Plata / Metalizado,22.390 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:30.070497,ref15391245
SKODA Karoq 2.0TDI Adblue Selection 85kW,11/2023,Alicante,9.100 km,Diesel,C,24 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:36.415814,ref15391244
SEAT Arona 1.0 TSI S&S Xperience DSG7 XS 110,02/2024,Alicante,18.500 km,Gasolina,C,36 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris / Metalizado,20.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:43.293312,ref15390364
SEAT Arona 1.0 TSI S&S FR 110,06/2022,Alicante,13.000 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Gris,22.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:52:49.135636,ref15390363
SEAT León 1.0 TSI S&S Style XS 110,03/2024,Alicante,26.100 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco,22.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,60
litros/100 km",Si,2025-02-18 11:52:55.859105,ref15390362
CUPRA Formentor 1.5 TSI 150,02/2024,Alicante,19.000 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,28.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,40
litros/100 km",Si,2025-02-18 11:53:03.859178,ref15390361
SEAT Ateca 1.0 TSI S&S Reference,01/2021,Alicante,54.000 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,20.000 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,30
litros/100 km",Si,2025-02-18 11:53:11.036664,ref15390360
CUPRA Formentor 1.5 TSI 150,04/2024,Alicante,33.000 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris,28.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,40
litros/100 km",Si,2025-02-18 11:53:18.027615,ref15390359
CUPRA León 1.5 eTSI 110 DSG,01/2025,Alicante,300 km,Gasolina,ECO,48 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Gris,33.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:53:25.568097,ref15384930
CUPRA León 1.5 eTSI 110 DSG,01/2025,Alicante,500 km,Gasolina,ECO,48 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Azul,32.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:53:30.992305,ref15376214
CUPRA León 1.5 eTSI 110 DSG,08/2024,Alicante,5.200 km,Gasolina,ECO,24 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Azul,29.690 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:53:36.964296,ref15376213
SEAT Ibiza 1.0 TSI S&S Style 95,12/2017,Alicante,111.500 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Azul / Metalizado,13.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,50
litros/100 km",Si,2025-02-18 11:54:00.089913,ref15408301
VOLKSWAGEN T-Cross 1.0 TSI Life 85kW Aut.,04/2024,Alicante,17.665 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro / Metalizado,24.790 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:07.985401,ref15408300
MAZDA CX-5 2.2 Skyactiv-D Evolution Design Navi 2WD Aut. 110kW,05/2019,Alicante,137.068 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Rojo,20.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,60
litros/100 km",Si,2025-02-18 11:54:14.844368,ref15408299
VOLKSWAGEN T-Roc 1.0 TSI Life 81kW,02/2024,Alicante,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Blanco,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:20.157604,ref15408298
VOLKSWAGEN T-Roc 1.0 TSI Dark 81kW,02/2024,Alicante,9.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Azul,29.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:26.570627,ref15408297
KIA Sportage 1.6 T-GDi Drive 150,12/2022,Alicante,13.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro / Metalizado,23.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:34.562239,ref15408296
VOLKSWAGEN Golf 2.0TDI CR BMT Advance DSG 150,09/2015,Madrid,128.000 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,150 cv,3 Puertas,blanco,14.200 €,"AUTOMASER
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:54:40.938674,ref15280062
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,03/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,25.200 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:47.748025,ref15407107
VOLKSWAGEN Golf 1.5 TSI R-Line 110kW,12/2023,Alicante,5.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Rojo,31.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:53.557598,ref15407106
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,04/2024,Alicante,5.000 km,Gasolina,C,36 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Negro,26.100 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:54:58.297553,ref15407105
VOLKSWAGEN Golf 1.5 TSI Más 85kW,07/2024,Alicante,2.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris / Metalizado,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:55:04.184806,ref15407104
VOLKSWAGEN Golf 1.5 TSI Más 85kW,08/2024,Alicante,6.000 km,Gasolina,C,36 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Gris,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:55:12.222562,ref15407103
VOLKSWAGEN T-Roc 1.0 TSI Life 85kW,04/2024,Alicante,18.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Plata,26.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:55:17.448198,ref15407102
SKODA Scala 1.0 TSI Selection 85kW,04/2024,Alicante,10.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,19.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:55:25.438981,ref15403663
SKODA Karoq 2.0TDI Adblue Selection 85kW,09/2024,Alicante,1.200 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,29.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:55:32.074753,ref15401848
SEAT Arona 1.0 TSI S&S FR XM 115,11/2024,Alicante,2.000 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,116 cv,5 Puertas,Blanco,21.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:55:39.467254,ref15399427
SEAT Arona 1.0 TSI S&S Style Special Edition DSG7 115,12/2024,Alicante,150 km,Gasolina,C,48 meses,Automático,Todo Terreno,5 asientos,116 cv,5 Puertas,Gris / Metalizado,22.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:04.028089,ref15425154
VOLKSWAGEN T-Cross 1.0 TSI Life 85kW,04/2024,Alicante,19.050 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris,23.490 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:10.862069,ref15416937
VOLKSWAGEN T-Cross 1.0 TSI Life 85kW,02/2024,Alicante,19.650 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Plata / Metalizado,24.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:18.249102,ref15413069
OPEL Insignia 2.0CDTI Sport 130,09/2011,Zaragoza,130.000 km,Diesel,B,12 meses,Manual,Berlina,5 asientos,130 cv,5 Puertas,Blanco,7.999 €,"CUARTE MOTOR
Profesional","Consumo medio
5,80
litros/100 km",No,2025-02-18 11:56:24.176079,ref15417140
CUPRA León 1.5 TSI 110,11/2024,Alicante,1.500 km,Gasolina,C,24 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Gris,30.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:56:29.081781,ref15408302
SEAT Ibiza 1.0 TSI S&S Style 95,12/2017,Alicante,111.500 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Azul / Metalizado,13.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,50
litros/100 km",Si,2025-02-18 11:56:34.661187,ref15408301
VOLKSWAGEN T-Cross 1.0 TSI Life 85kW Aut.,04/2024,Alicante,17.665 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro / Metalizado,24.790 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:39.894970,ref15408300
MAZDA CX-5 2.2 Skyactiv-D Evolution Design Navi 2WD Aut. 110kW,05/2019,Alicante,137.068 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Rojo,20.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,60
litros/100 km",Si,2025-02-18 11:56:46.295284,ref15408299
VOLKSWAGEN T-Roc 1.0 TSI Life 81kW,02/2024,Alicante,5.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Blanco,27.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:52.537619,ref15408298
VOLKSWAGEN T-Roc 1.0 TSI Dark 81kW,02/2024,Alicante,9.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,109 cv,5 Puertas,Azul,29.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:56:57.247822,ref15408297
